image_couple_name,pair,preprocessing,bin,method,tx,residuo_tx,ty,residuo_ty,theta,residuo_theta,residuo_diag
zh3_01_02,c2,pca-gauss-3,128,powell,-17.78859732734174,-0.35045,11.557283891548025,0.15166,-0.08516,0.00067,0.38185636127597106
zh3_01_02,c2,pca-gauss-3,128,Nelder-Mead,-17.706583368151023,-0.26843,11.264460546700548,-0.14116,-0.08449,0.00134,0.30328748067891226
zh3_01_02,c2,pca-gauss-3,256,powell,-17.627552015128945,-0.1894,11.32761671996451,-0.07801,-0.08427,0.00156,0.2048367366369331
zh3_01_02,c2,pca-gauss-3,256,Nelder-Mead,-17.721292258552083,-0.28314,11.69046409116251,0.28484,-0.08473,0.0011,0.4016265668267461
zh3_01_02,c2,gray-gauss-5,64,powell,-17.404384312515678,0.03377,11.408546133227588,0.00292,-0.08372,0.00211,0.03389204485962811
zh3_01_02,c2,gray-gauss-5,64,Nelder-Mead,-17.4136769883575,0.02447,11.321478079000826,-0.08415,-0.08417,0.00166,0.08763169043721775
zh3_01_02,c2,gray-gauss-5,128,powell,-17.683385172799298,-0.24524,11.493806234261172,0.08818,-0.08492,0.00091,0.260607988128338
zh3_01_02,c2,gray-gauss-5,128,Nelder-Mead,-17.569965276088674,-0.13182,11.270543398826106,-0.13508,-0.08394,0.00189,0.18873730091312005
zh3_01_02,c2,gray-gauss-5,256,powell,-17.35078358131034,0.08737,11.375295584499582,-0.03033,-0.08304,0.00279,0.0924805959905425
zh3_01_02,c2,gray-gauss-5,256,Nelder-Mead,-17.859160340769918,-0.42101,11.445701748609707,0.04008,-0.08515,0.00068,0.42291363956566896
zh3_01_02,c2,hsv_v-gauss-5,64,powell,-17.459367153329854,-0.02122,11.52040566683695,0.11478,-0.08436,0.00147,0.11672706009069116
zh3_01_02,c2,hsv_v-gauss-5,64,Nelder-Mead,-17.412115563972698,0.02603,11.380208881513596,-0.02541,-0.08418,0.00165,0.03638237369330532
zh3_01_02,c2,hsv_v-gauss-5,128,powell,-17.61369349046663,-0.17554,11.46602688537368,0.0604,-0.08454,0.00129,0.18564512264026564
zh3_01_02,c2,hsv_v-gauss-5,128,Nelder-Mead,-17.61904898075789,-0.1809,11.474506334064785,0.06888,-0.08461,0.00122,0.19356993040796736
zh3_01_02,c2,hsv_v-gauss-5,256,powell,-17.53833542096789,-0.10019,11.523786729349808,0.11816,-0.08437,0.00146,0.15491853357155005
zh3_01_02,c2,hsv_v-gauss-5,256,Nelder-Mead,-17.43673813138618,0.00141,11.745887296926867,0.34026,-0.08487,0.00096,0.34026714527389446
zh3_01_02,c2,pca-gauss-5,64,powell,-17.799912635930816,-0.36176,11.57402152715349,0.1684,-0.08524,0.00059,0.39903657696282574
zh3_01_02,c2,pca-gauss-5,64,Nelder-Mead,-17.61675097847567,-0.1786,11.428085722012725,0.02246,-0.08445,0.00138,0.18000792831517606
zh3_01_02,c2,pca-gauss-5,128,powell,-17.752972832261996,-0.31482,11.322630447865208,-0.08299,-0.08477,0.00106,0.32557817486088
zh3_01_02,c2,pca-gauss-5,128,Nelder-Mead,-17.769340435149438,-0.33119,11.45262207123153,0.047,-0.08478,0.00105,0.33450853820927884
zh3_01_02,c2,pca-gauss-5,256,powell,-17.630307814262437,-0.19216,12.08212268940298,0.6765,-0.08634,-0.00051,0.7032612019725203
zh3_01_02,c2,pca-gauss-5,256,Nelder-Mead,-17.464716136185817,-0.02657,11.267685765787121,-0.13794,-0.08348,0.00235,0.14047227040627713
zh3_01_02,c2,gray-gauss-7,64,powell,-17.22661661003722,0.21153,10.895465044336618,-0.51016,-0.08188,0.00395,0.5522749566370029
zh3_01_02,c2,gray-gauss-7,64,Nelder-Mead,-17.181716452866475,0.25643,10.839030094706317,-0.56659,-0.08235,0.00348,0.6219210664698392
zh3_01_02,c2,gray-gauss-7,128,powell,-17.41539665459557,0.02275,11.235429372720034,-0.17019,-0.08313,0.0027,0.17170793908257032
zh3_01_02,c2,gray-gauss-7,128,Nelder-Mead,-17.734917153329835,-0.29677,11.300105666836942,-0.10552,-0.08436,0.00147,0.314967658095457
zh3_01_02,c2,gray-gauss-7,256,powell,-17.78586684308754,-0.34772,11.424477738593936,0.01885,-0.08462,0.00121,0.3482275857016001
zh3_01_02,c2,gray-gauss-7,256,Nelder-Mead,-18.046936069135246,-0.60879,11.469557857374838,0.06393,-0.08586,-3e-05,0.6121340104046558
zh3_01_02,c2,hsv_v-gauss-7,64,powell,-17.356957545302762,0.08119,11.432085406179425,0.02646,-0.08367,0.00216,0.08539602413565793
zh3_01_02,c2,hsv_v-gauss-7,64,Nelder-Mead,-17.233406426344274,0.20474,11.394915921674254,-0.01071,-0.08347,0.00236,0.2050234216888233
zh3_01_02,c2,hsv_v-gauss-7,128,powell,-17.461795774601967,-0.02365,11.45326893770033,0.04765,-0.08383,0.002,0.053190665848296736
zh3_01_02,c2,hsv_v-gauss-7,128,Nelder-Mead,-17.42333631152028,0.01481,11.29973292481813,-0.10589,-0.08393,0.0019,0.10692133873266065
zh3_01_02,c2,hsv_v-gauss-7,256,powell,-17.57364142503936,-0.13549,11.6200017870745,0.21438,-0.0845,0.00133,0.2536062627349883
zh3_01_02,c2,hsv_v-gauss-7,256,Nelder-Mead,-17.480253201297224,-0.0421,11.72993381771343,0.32431,-0.08485,0.00098,0.3270323033558445
zh3_01_02,c2,pca-gauss-7,64,powell,-17.36276862951444,0.07538,11.486243287828643,0.08062,-0.08324,0.00259,0.11037200510342961
zh3_01_02,c2,pca-gauss-7,64,Nelder-Mead,-17.27929563272274,0.15885,11.40551200931344,-0.00011,-0.08276,0.00307,0.15885447747771203
zh3_01_02,c2,pca-gauss-7,128,powell,-17.6398165159949,-0.20167,11.232222247149934,-0.1734,-0.08442,0.00141,0.265964667013012
zh3_01_02,c2,pca-gauss-7,128,Nelder-Mead,-17.46248310581837,-0.02433,11.593889990083909,0.18827,-0.08386,0.00197,0.18983288858150082
zh3_01_02,c2,pca-gauss-7,256,powell,-17.37102218381659,0.06713,11.66994036826037,0.26432,-0.08387,0.00196,0.27270823526956134
zh3_01_02,c2,pca-gauss-7,256,Nelder-Mead,-17.912142232270437,-0.47399,11.40575331355734,0.00013,-0.08511,0.00072,0.4739921787920512
zh3_02_02,c3,gray,64,powell,37.892931644832856,-1.4431,-10.414340916975277,2.09036,0.1593,0.00066,2.540105880461825
zh3_02_02,c3,gray,64,Nelder-Mead,37.891450599557345,-1.44458,-10.327243975564073,2.17745,0.15931,0.00067,2.6130687192986124
zh3_02_02,c3,gray,128,powell,37.98503792060529,-1.35099,-10.381236912542079,2.12346,0.15973,0.00109,2.5167992379523882
zh3_02_02,c3,gray,128,Nelder-Mead,37.92001354528027,-1.41602,-10.279344111658446,2.22535,0.15872,8e-05,2.637672252598242
zh3_02_02,c3,gray,256,powell,38.20709740677134,-1.12894,-10.519798842008043,1.9849,0.16021,0.00157,2.283489377401125
zh3_02_02,c3,gray,256,Nelder-Mead,37.948741316549814,-1.38729,-10.387616291076114,2.11708,0.15913,0.00049,2.531129563513483
zh3_02_02,c3,hsv_v,64,powell,37.9186790257809,-1.41735,-10.307179337804456,2.19752,0.15943,0.00079,2.614953994612504
zh3_02_02,c3,hsv_v,64,Nelder-Mead,37.91033440577127,-1.4257,-10.263859418594734,2.24084,0.15866,2e-05,2.655932594064259
zh3_02_02,c3,hsv_v,128,powell,37.97479549023832,-1.36124,-10.319618337208112,2.18508,0.15978,0.00114,2.5744017779096056
zh3_02_02,c3,hsv_v,128,Nelder-Mead,37.9290690257809,-1.40696,-10.276169337804447,2.22853,0.15943,0.00079,2.6355059321635306
zh3_02_02,c3,hsv_v,256,powell,37.955273212960684,-1.38076,-10.402701349646549,2.102,0.15837,-0.00027,2.5149336314638915
zh3_02_02,c3,hsv_v,256,Nelder-Mead,37.85983008851687,-1.4762,-10.276917463301572,2.22778,0.15969,0.00105,2.6724866763265376
zh3_02_02,c3,pca,64,powell,17.26314930211349,-22.07288,262.77131908701534,275.27602,-0.21926,-0.3779,276.15955223566357
zh3_02_02,c3,pca,64,Nelder-Mead,37.893267057674,-1.44277,-10.288695366191547,2.216,0.15925,0.00061,2.644285366941412
zh3_02_02,c3,pca,128,powell,37.547526721018485,-1.78851,-10.037739729470502,2.46696,0.15734,-0.0013,3.047071066181722
zh3_02_02,c3,pca,128,Nelder-Mead,37.85028891954056,-1.48574,-10.261571842445136,2.24313,0.15869,5e-05,2.690549077374638
zh3_02_02,c3,pca,256,powell,13.314855993778103,-26.02118,32.76863627237799,45.27334,0.02017,-0.13847,52.21854583002629
zh3_02_02,c3,pca,256,Nelder-Mead,37.886609309829986,-1.44942,-10.406699025555156,2.098,0.15923,0.00059,2.549986739487459
zh3_02_02,c3,gray-gauss-3,64,powell,38.300147825010015,-1.03589,-10.305854349139139,2.19884,0.16105,0.00241,2.43063271888463
zh3_02_02,c3,gray-gauss-3,64,Nelder-Mead,38.16526795689766,-1.17076,-10.26860613912524,2.23609,0.16026,0.00162,2.5240446817791256
zh3_02_02,c3,gray-gauss-3,128,powell,38.03220691118986,-1.30383,-10.213751533993843,2.29095,0.15975,0.00111,2.635982210567834
zh3_02_02,c3,gray-gauss-3,128,Nelder-Mead,37.916376115901954,-1.41966,-10.07737166814971,2.42733,0.15799,-0.00065,2.8119998322347075
zh3_02_02,c3,gray-gauss-3,256,powell,37.951607996380915,-1.38442,-10.392569011933972,2.11213,0.16003,0.00139,2.5254158339220956
zh3_02_02,c3,gray-gauss-3,256,Nelder-Mead,37.89839002464356,-1.43764,-10.324592205222842,2.18011,0.15874,0.0001,2.611452162883433
zh3_02_02,c3,hsv_v-gauss-3,64,powell,38.05381391004684,-1.28222,-10.298436090618623,2.20626,0.15949,0.00085,2.55179961736531
zh3_02_02,c3,hsv_v-gauss-3,64,Nelder-Mead,38.11446606202668,-1.22157,-10.179683037879727,2.32502,0.15895,0.00031,2.62639000793606
zh3_02_02,c3,hsv_v-gauss-3,128,powell,38.48170090915461,-0.85433,-10.777147715441686,1.72755,0.16182,0.00318,1.9272561782016626
zh3_02_02,c3,hsv_v-gauss-3,128,Nelder-Mead,37.7561441000086,-1.57989,-10.02208037182541,2.48262,0.1571,-0.00154,2.9426932495692766
zh3_02_02,c3,hsv_v-gauss-3,256,powell,9.617560074872657,-29.71847,34.57269579399082,47.07739,0.01576,-0.14288,55.67287240414763
zh3_02_02,c3,hsv_v-gauss-3,256,Nelder-Mead,38.0216505780014,-1.31438,-10.36812195432907,2.13658,0.15892,0.00028,2.5084979753200844
zh3_02_02,c3,pca-gauss-3,64,powell,37.914091519952116,-1.42194,-10.370034234937407,2.13466,0.15952,0.00088,2.564899740421395
zh3_02_02,c3,pca-gauss-3,64,Nelder-Mead,38.16186189817577,-1.17417,-10.259337818283143,2.24536,0.15987,0.00123,2.5338358466776865
zh3_02_02,c3,pca-gauss-3,128,powell,11.745452169596765,-27.59058,34.54895088124553,47.05365,0.0166,-0.14204,54.5461832422049
zh3_02_02,c3,pca-gauss-3,128,Nelder-Mead,38.10556556558008,-1.23047,-10.275540575113268,2.22916,0.15947,0.00083,2.546212258580549
zh3_02_02,c3,pca-gauss-3,256,powell,38.016076364668386,-1.31996,-10.419219591123124,2.08548,0.15917,0.00053,2.468098328226259
zh3_02_02,c3,pca-gauss-3,256,Nelder-Mead,38.28720867376721,-1.04882,-10.387461626266713,2.11724,0.15999,0.00135,2.362779314878807
zh3_02_02,c3,gray-gauss-5,64,powell,38.26776908697254,-1.06826,-10.159217830244245,2.34548,0.15997,0.00133,2.5772988187141803
zh3_02_02,c3,gray-gauss-5,64,Nelder-Mead,38.227286377997544,-1.10875,-10.11593263661456,2.38877,0.15959,0.00095,2.633538169909465
zh3_02_02,c3,gray-gauss-5,128,powell,38.220467333990484,-1.11557,-10.26507733098174,2.23962,0.1602,0.00156,2.502077431589455
zh3_02_02,c3,gray-gauss-5,128,Nelder-Mead,38.18399532425948,-1.15204,-10.148990039102785,2.35571,0.15871,7e-05,2.62231862888394
